,N Taxa,Phy. Signal,p Value (cor.)
Savannah,10,0.493,1
Arid Zone,11,0.849,0.553
NE Wet Forest,10,0.546,0.917
NE Dry Forest,14,0.533,0.854
Pilbara,5,0.879,1
South West,7,0.799,0.35
South East,13,0.503,0.917
