"","basicran","molar","orbital","rostrum","vault"
"basicran",NA,0.001,0.001,0.001,0.001
"molar",0.69,NA,0.001,0.002,0.001
"orbital",0.77,0.7,NA,0.001,0.001
"rostrum",0.89,0.77,0.86,NA,0.001
"vault",0.85,0.77,0.88,0.94,NA
