"","Modules","basicranium","molar","orbital","rostrum","vault","n.num"
"1","basicran","-","0.514","0.601","0.719","0.753",64
"2","molar","0.01","-","0.55","0.625","0.564",19
"3","orbital","0.01","0.01","-","0.807","0.731",32
"4","rostrum","0.01","0.01","0.01","-","0.762",86
"5","vault","0.01","0.01","0.01","0.01","-",124
