"","Df","SS","MS","Rsq","F","Z","P"
"basicran",1,0.0103048424269054,0.0103048424269054,0.0852072145579302,3.26003063971082,2.69447477368959,0.001999800019998
"molar",1,0.0246482160350601,0.0246482160350601,0.138616601045872,5.63231314011413,3.74035634903927,0.0001999800019998
"orbital",1,0.0273067040871713,0.0273067040871713,0.195624867811921,8.51203636143281,3.37401507765019,9.99900009999e-05
"rostrum",1,0.00496582837092885,0.00496582837092885,0.0376781181115311,1.37036698294306,1.44128154130689,0.0766923307669233
"vault",1,0.0207418317543599,0.0207418317543599,0.184125387376192,7.8987487273834,4.14334293096016,9.99900009999e-05
