"","SS","MS","Rsq","F","Z","P"
"basicran",0.002,0.133,0.13,5.38,3.31,0
"molar",0,0.09,0.09,3.47,2.7,0.002
"orbital",0.001,0.206,0.21,9.07,3.59,0
"rostrum",0.003,0.074,0.07,2.79,2.29,0.007
"vault",0.01,0.263,0.26,12.49,3.79,0
"",NA,NA,NA,NA,NA,NA
"basicran",0.008,0.318,0.32,16.31,4.16,0
"molar",0.001,0.214,0.21,9.53,3.76,0
"orbital",0.004,0.358,0.36,19.52,4.37,0
"rostrum",0.012,0.332,0.33,17.42,4.71,0
"vault",0.041,0.595,0.59,51.39,4.1,0
