"","SS","MS","Rsq","F","Z","P"
"basicran",0.002,0.133,0.13,5.38,3.31,0
"molar",0,0.09,0.09,3.47,2.7,0.002
"orbital",0.001,0.206,0.21,9.07,3.59,0
"rostrum",0.003,0.074,0.07,2.79,2.29,0.007
"vault",0.01,0.263,0.26,12.49,3.79,0
"",NA,NA,NA,NA,NA,NA
"basicran",0.01,0.085,0.09,3.26,2.69,0.002
"molar",0.025,0.139,0.14,5.63,3.74,0
"orbital",0.027,0.196,0.2,8.51,3.37,0
"rostrum",0.005,0.038,0.04,1.37,1.44,0.077
"vault",0.021,0.184,0.18,7.9,4.14,0
