"","basicran","molar","orbital","rostrum","vault"
"basicran",64,0.52,0.5,0.63,0.73
"molar",0.56,19,0.46,0.66,0.62
"orbital",0.66,0.6,32,0.66,0.74
"rostrum",0.82,0.68,0.81,86,0.72
"vault",0.82,0.69,0.84,0.86,124
