"","basicran","molar","orbital","rostrum","vault"
"basicran",1,0.001,0.001,0.001,0.001
"molar",0.693264897124993,1,0.002,0.001,0.001
"orbital",0.773952203712773,0.702593445747279,1,0.001,0.001
"rostrum",0.892154253996082,0.773948635400172,0.861133345248424,1,0.001
"vault",0.852488016872316,0.769949685563968,0.877413387838037,0.942198270808016,1
