"","basicran","molar","orbital","rostrum","vault"
"basicran",NA,0.558684977574106,0.66275805663978,0.820955995263322,0.818219525189094
"molar",0.519915000013358,NA,0.599379269092262,0.680105413178305,0.686100548405704
"orbital",0.49830133487784,0.459011515293881,NA,0.805541550224048,0.839931654957807
"rostrum",0.627422449213837,0.66090262034358,0.664963902484102,NA,0.856139005169973
"vault",0.727809280006099,0.620564383654629,0.735902717187376,0.720272425106576,NA
